ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON
HG;200364/26;1;;;20260131;20260131;4E3581E67B;626546E014;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;13266;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200365/26;1;;;20260131;20260131;4E3581E67B;092FB40766;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;69172;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200365/26;2;;;20260131;20260131;4E3581E67B;23CA5E516C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;69172;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200366/26;1;;;20260131;20260131;4E3581E67B;69266047D8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;67628;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200367/26;1;;;20260131;20260131;4E3581E67B;977CA670A2;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;66864;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200368/26;1;;;20260131;20260131;4E3581E67B;D61E8A2F30;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;66864;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200369/26;1;;;20260131;20260131;4E3581E67B;A75FC66838;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;91317;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;1;;;20260131;20260131;4E3581E67B;DDFC4B970C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37864;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;2;;;20260131;20260131;4E3581E67B;2BBC640D67;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;73359;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;3;;;20260131;20260131;4E3581E67B;B8D6FECC07;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37864;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
