ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON;Unnamed: 39;Unnamed: 40;Unnamed: 41
HG;200211/26;2;;;20260108;20260108;4E3581E67B;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;1;5772;0;;EUR;PLN;384.82;510620;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;3;;;20260108;20260108;F04BFD662E;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;2;581;182;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;4;;;20260108;20260108;244D8A28DD;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;2;223;66;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;5;;;20260108;20260108;05FCE628DE;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;2;2190;965;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;6;;;20260108;20260108;8404781244;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;2;77;15;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;7;;;20260108;20260108;5C556CFCC2;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;2;435;226;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;8;;;20260108;20260108;340B0EC220;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;23;1674;536;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;9;;;20260108;20260108;42D99FA3C8;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;23;1674;555;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;10;;;20260108;20260108;459D72B134;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;46;5099;1968;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;11;;;20260108;20260108;1E01B8770F;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;6;9601;3691;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200211/26;12;;;20260108;20260108;83B41AC77B;84BDEBECE7;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;12;18325;4981;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200188/26;1;;;20260106;20260106;64833FAE45;9EEBF50CD7;;PL03;;;;PL/4536;;;;;;;1;1;9005;9005;2;1040756;853106;;EUR;PLN;385.18;110140;;PL;;;CAC7A4FAFC;10;;;
HG;200189/26;1;;;20260106;20260106;6753D742D6;84759C10F9;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;1;467994;422516;;EUR;PLN;385.18;110143;;PL;;;CAC7A4FAFC;10;;;
HG;200190/26;1;;;20260106;20260106;925B2667D0;4455D6C065;;PL03;;;;PL/3096;;;;;;;1;1;9005;9005;1;1257228;1011780;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200191/26;1;;;20260106;20260106;7D8D997C15;D42971D651;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;1;1430944;1318895;;EUR;PLN;385.18;110171;;PL;;;CAC7A4FAFC;10;;;
HG;200192/26;1;;;20260106;20260106;AB888B21AA;97E46FB0AD;;PL03;;;;PL/4051;;;;;;;1;1;9005;9005;4;7968604;6011907;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200193/26;1;;;20260106;20260106;45DC12F007;520A78222D;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;763042;667374;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200194/26;1;;;20260106;20260106;0AB0FAC345;BF20A0152C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;86708;49758;;EUR;PLN;385.18;110371;;PL;;;CAC7A4FAFC;10;;;
HG;200195/26;1;;;20260106;20260106;DD097F4972;6D90930F79;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;1;373239;178898;;EUR;PLN;385.18;110945;;PL;;;CAC7A4FAFC;10;;;
HG;200195/26;2;;;20260106;20260106;DD097F4972;6D90930F79;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;2;746479;357796;;EUR;PLN;385.18;110945;;PL;;;CAC7A4FAFC;10;;;
HG;200196/26;1;;;20260106;20260106;DA66F99C92;6503E977DC;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;120342;69012;;EUR;PLN;385.18;110374;;PL;;;CAC7A4FAFC;10;;;
HG;200197/26;1;;;20260106;20260106;7E4E2C01A3;28884A3D8A;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;59202;34022;;EUR;PLN;385.18;110374;;PL;;;CAC7A4FAFC;10;;;
HG;21/26;1;;;20260106;20260106;D821D85FAD;8C217E1AAC;;PL03;;;;PL/4017;;;;;;;1;1;9005;9005;1;3533310;2644831;;PLN;PLN;1;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200198/26;1;;;20260106;20260106;7E4E2C01A3;929DD9C116;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;59202;34022;;EUR;PLN;385.18;110374;;PL;;;CAC7A4FAFC;10;;;
HG;22/26;1;;;20260106;20260106;5DB2A070B7;9D8F47187B;;PL03;;;;PL/1453;;;;;;;1;1;9005;9005;1;375936;338009;;EUR;PLN;385.18;110171;;PL;;;CAC7A4FAFC;10;;;
